,id,name,review_count,categories,rating,coordinates,price,location
22,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 41.89628, 'longitude': -87.671551}",$$,"{'address1': '1746 W Chicago Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1746 W Chicago Ave', 'Chicago, IL 60622']}"
23,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]",4.5,"{'latitude': 41.90354, 'longitude': -87.67166}",$$,"{'address1': '1742 W Division St', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['1742 W Division St', 'Chicago, IL 60607']}"
24,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.5,"{'latitude': 41.89115, 'longitude': -87.63375}",$$,"{'address1': '509 N Wells St', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60654', 'country': 'US', 'state': 'IL', 'display_address': ['509 N Wells St', 'Chicago, IL 60654']}"
25,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,"[{'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 41.9034987, 'longitude': -87.6778866}",$$,"{'address1': '2014 W Division St', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2014 W Division St', 'Chicago, IL 60622']}"
26,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 41.90286, 'longitude': -87.67935}",$$,"{'address1': '2053 W Division St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['2053 W Division St', 'Chicago, IL 60622']}"
27,faOpq9ORL0FlsMrou2NYug,Amaru,379,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 41.910699, 'longitude': -87.675507}",$$$,"{'address1': '1904 W North Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1904 W North Ave', 'Chicago, IL 60622']}"
28,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 41.92549, 'longitude': -87.701022}",$$,"{'address1': '2423 N Milwaukee Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2423 N Milwaukee Ave', 'Chicago, IL 60647']}"
29,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"{'latitude': 41.9265, 'longitude': -87.6978}",,"{'address1': '2456 N California Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2456 N California Ave', 'Chicago, IL 60647']}"
30,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 41.921891836367266, 'longitude': -87.69749321372282}",$$,"{'address1': '2200 N California Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2200 N California Ave', 'Chicago, IL 60647']}"
31,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 41.909487, 'longitude': -87.677293}",$$,"{'address1': '1545 N Damen Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1545 N Damen Ave', 'Chicago, IL 60622']}"
32,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 41.90591, 'longitude': -87.65993}",,"{'address1': '1308 N Elston Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60642', 'country': 'US', 'state': 'IL', 'display_address': ['1308 N Elston Ave', 'Chicago, IL 60642']}"
33,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 41.88466, 'longitude': -87.647668}",$$,"{'address1': '800 W Randolph St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60607', 'country': 'US', 'state': 'IL', 'display_address': ['800 W Randolph St', 'Chicago, IL 60607']}"
34,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 41.9188328905871, 'longitude': -87.68991989999999}",,"{'address1': '2047 N Milwaukee Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60647', 'country': 'US', 'state': 'IL', 'display_address': ['2047 N Milwaukee Ave', 'Chicago, IL 60647']}"
35,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 41.9099251, 'longitude': -87.6345035}",$$,"{'address1': '1527 N Wells St', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60610', 'country': 'US', 'state': 'IL', 'display_address': ['1527 N Wells St', 'Chicago, IL 60610']}"
36,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 41.91032, 'longitude': -87.67186}",$$,"{'address1': '1745 W North Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1745 W North Ave', 'Chicago, IL 60622']}"
37,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 41.90859268098761, 'longitude': -87.67442096514347}",$$,"{'address1': '1467 N Milwaukee Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1467 N Milwaukee Ave', 'Chicago, IL 60622']}"
38,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 41.9071254164458, 'longitude': -87.6673834605751}",$$,"{'address1': '1401 N Ashland Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1401 N Ashland Ave', 'Chicago, IL 60622']}"
39,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.0,"{'latitude': 41.896263, 'longitude': -87.672913}",,"{'address1': '1814 W Chicago Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60622', 'country': 'US', 'state': 'IL', 'display_address': ['1814 W Chicago Ave', 'Chicago, IL 60622']}"
