,category
12954,"Peruvian, Group Friendly"
12955,"Ice Cream + Frozen Yogurt, Desserts"
12956,"Mexican, Latin American, New Mexican, Family Friendly, Exclusive to Eats"
12957,"Mexican, Latin American, New Mexican, Allergy Friendly, Family Meals"
12958,"Wings, Chicken, American"
12959,"Fast Food, Italian, pizza, wings"
12960,"Asian, Family Friendly"
12961,"Japanese, Asian, Sushi"
12962,"Breakfast and Brunch, Family Meals, Sandwich, Salads, Pasta, Cafe"
12963,"Desserts, Vegetarian, Coffee and Tea, Healthy"
12964,"Fast Food, Sandwich, American"
12965,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food, Group Friendly"
12966,"Fast Food, Sandwich, American"
12967,"Bubble Tea, Coffee and Tea, Juice"
12968,"Burgers, American, Sandwiches"
12969,"Bubble Tea, Coffee and Tea, Juice"
12970,"Fast Food, Sandwich, American"
12971,"American, Burgers, Fast Food"
12972,"Wings, New American"
12973,"Healthy, Salads, Vegetarian Friendly, Cafe"
12974,"Vegetarian, Vegan, Healthy"
12975,"Chinese: Other, Family Friendly"
12976,"American, Fast Food, wings, Family Meals, Family Friendly"
12977,"Mexican, Latin American"
12978,"Sandwich, Salads, Pizza"
12979,Caribbean
12980,"Caribbean, Black-owned, Jamaican"
12981,"Soup, Salads, Caribbean"
12982,"Seafood, American, Family Meals, Family Friendly"
12983,"Wings, Asian, Chicken, Family Friendly"
12984,"Mexican, Latin American, New Mexican, Family Meals, Family Friendly, Group Friendly"
12985,"Burgers, Healthy, Plant Based"
12986,"Fast Food, Sandwich, American"
12987,"Chicken, Sandwich, Family Meals"
12988,"Thai, Family Friendly"
12989,Mediterranean
12990,"Pizza, Italian, American"
12991,"Bubble Tea, Coffee and Tea, Juice"
12992,"American, Sandwich, Desserts"
12993,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
12994,"Comfort Food, American, Chicken, Wings"
12995,"Healthy, Mexican"
12996,"Fast Food, Sandwich, American"
12997,"Açaí, Juice and Smoothies, Drinks, Breakfast and Brunch, Healthy, Cafe, Vegetarian Friendly, Vegan Friendly"
12998,"Fast Food, Italian, pizza, wings, Family Meals"
12999,"Comfort Food, American, Chicken, Wings"
13000,"Mexican, Burritos, Bowls, Salads"
13001,"Kids Friendly, Mexican, Tex Mex, Group Friendly"
13002,"Deli, Salads, Sandwich, Healthy"
13003,"Breakfast and Brunch, Traditional American, Family Meals, Family Friendly, Group Friendly"
13004,"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food"
13005,"Peruvian, Family Meals, Family Friendly"
13006,"Sandwich, Deli, Grocery, Family Meals"
13007,"Ice Cream + Frozen Yogurt, Desserts, Juice and Smoothies, American, New American, Western"
13008,"Bubble Tea, Juice and Smoothies"
13009,"Healthy, Mexican, Group Friendly"
13010,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13011,"Ice Cream &amp; Frozen Yogurt, Desserts, Family Friendly, Kids Friendly"
13012,"Burgers, American"
13013,"Juice and Smoothies, Healthy, Fast Food"
13014,"Breakfast and Brunch, Donuts"
13015,"Breakfast &amp; Brunch, Donuts"
13016,"Burgers, American, Sandwiches, Family Meals, Salads, Breakfast and Brunch, Healthy, Family Meals, Family Friendly, Vegan, Group Friendly"
13017,"Asian, Japanese, Healthy, Sushi"
13018,"American, Comfort Food, Sandwich, Convenience, Snacks, Everyday Essentials"
13019,"Fast Food, Sandwich, American"
13020,"Burritos, Fast Food, Mexican"
13021,"Desserts, PIzza, Wings, Sandwiches"
13022,"American, Burgers"
13023,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13024,"American, Burgers, Fast Food"
13025,"American, Fast Food, Burgers"
13026,"American, Fast Food, Burgers"
13027,"Burritos, Fast Food, Mexican"
13028,"Healthy, Mexican"
13029,"American, burger, Fast Food"
13030,"American, Burgers, Fast Food"
13031,"Burritos, Fast Food, Mexican"
13032,"American, Burgers, Fast Food"
13033,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
13034,"American, Fast Food, Burgers"
13035,"Fast Food, Sandwich, American"
13036,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13037,"Breakfast &amp; Brunch, Donuts"
13038,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13039,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
13040,"Italian, Pasta, Comfort Food"
13041,"Burgers, American, Sandwiches"
13042,"Italian, Pizza, Sandwich, Salads, Pasta"
13043,"Breakfast &amp; Brunch, Donuts"
13044,"American, Burgers, Fast Food"
13045,"American, burger, Fast Food"
13046,"American, Burgers, Fast Food"
13047,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13048,"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks, Pizza, American"
13049,"American, Comfort Food, Fried Chicken, Family Meals, Sandwich, Family Friendly"
13050,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
13051,"American, Fast Food, wings, Family Meals, Family Friendly"
13052,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13053,"Desserts, PIzza, Wings, Sandwiches"
13054,"American, Burgers, Sandwiches, Convenience, Snacks, Everyday Essentials"
13055,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13056,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Snacks"
13057,"Burgers, American, Sandwiches, Family Meals"
13058,"Healthy, Mexican"
13059,"American, burger, Fast Food"
13060,"American, Burgers, Fast Food"
13061,"American, Burgers, Fast Food"
13062,"Fast Food, Sandwich, American"
13063,"American, burger, Fast Food, Fast Food"
13064,"Burgers, American, Sandwiches"
13065,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Snacks"
13066,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Snacks"
13067,"American, Burgers, Fast Food"
13068,"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American, Alcohol"
13069,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13070,"American, Burgers, Sandwiches"
13071,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
13072,"American, Sandwich, Fast Food"
13073,"American, burger, Fast Food"
13074,"Chicken Strips, Fast Food, Fried Chicken"
13075,"American, Burgers, Fast Food"
13076,"American, Fast Food, wings, Family Meals"
13077,"Italian, pizza, wings"
13078,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
13079,"American, Burgers, Fast Food"
13080,"American, Traditional American, Burgers, Wings, Fast Food, Sandwich, Family Friendly"
13081,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13082,"Breakfast and Brunch, Donuts"
13083,"American, Fast Food, Burgers, Group Friendly"
13084,"Asian, Japanese, Healthy, Sushi"
13085,"Burritos, Fast Food, Mexican"
13086,"Italian, Pizza, Sandwich, Salads, Pasta"
13087,"Fast Food, Sandwich, American"
13088,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13089,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13090,"Ice Cream + Frozen Yogurt, Desserts"
13091,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13092,"Fast Food, Sandwich, American"
13093,"Pizza, Wings, Desserts"
13094,"Fast Food, Sandwich, American"
13095,"American, Family Meals, Family Friendly"
13096,"Sandwhiches, American"
13097,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13098,"American, Burgers, Bar Food, Family Meals"
13099,"Breakfast and Brunch, Donuts"
13100,"Fast Food, Sandwich, American"
13101,"Fast Food, Sandwich, American"
13102,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
13103,"Fast Food, Italian, pizza, wings"
13104,"Mexican, Latin American, New Mexican"
13105,"Asian, Desserts, Juice and Smoothies, Bubble Tea"
13106,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13107,"Burgers, Sandwiches, Pizza"
13108,"Thai, Asian, Noodles, Family Friendly, Group Friendly"
13109,"Asian Fusion, Asian, Japanese, Seafood, Sushi, Group Friendly"
13110,"Healthy, Salads, Soup, Group Friendly"
13111,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery, Group Friendly"
13112,"American, Fast Food, Burgers, Group Friendly"
13113,"Pastry, Comfort Food, Cupcakes, Bakery, Breakfast and Brunch, Coffee and Tea, Vegan Friendly, Vegetarian Friendly, Allergy Friendly, Kids Friendly"
13114,"Bakery, Juice and Smoothies, Comfort Food"
13115,"Pizza, American, Italian"
13116,"Desserts, PIzza, Wings, Sandwiches"
13117,"Pizza, American, Italian, Salads"
13118,"American, Wings, Comfort Food"
13119,"American, Burgers, Fast Food"
13120,"Burgers, American, Salads, Healthy, Group Friendly"
13121,"American, Fast Food, Burgers"
13122,"Açaí, Juice and Smoothies, Drinks, Breakfast and Brunch, Healthy, Cafe, Vegetarian Friendly, Vegan Friendly"
13123,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13124,"Pharmacy, Convenience, Everyday Essentials"
13125,"Latin American, Chicken, Breakfast and Brunch"
13126,"Caribbean, Wings, Vegetarian Friendly, Family Meals"
13127,"Healthy, Salads"
13128,"Dinner, Healthy, Salads"
13129,Middle Eastern
13130,"Pizza, Wings"
13131,"Asian, Korean, Chinese, Group Friendly"
13132,"Salads, Dinner, Healthy"
13133,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13134,"Ice Cream + Frozen Yogurt, Desserts, Ice Cream &amp; Frozen Yogurt"
13135,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13136,"Irish, Bar Food, Exclusive to Eats"
13137,"Thai, Asian, Noodles"
13138,"Burgers, American, Sandwiches"
13139,"Indian, Vegetarian, Chicken"
13140,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13141,"Fast Food, Sandwich, American"
13142,"Pizza, American, Italian, Family Friendly"
13143,"Pizza, Wings, Desserts"
13144,"American, Fast Food, Burgers"
13145,"Breakfast and Brunch, American, Sandwich"
13146,"Indian, Pakistani, Chicken, Halal, Vegetarian"
13147,"Healthy, Seafood"
13148,"Mediterranean, Greek, Vegetarian, Family Meals, Persian, Healthy, Family Friendly"
13149,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13150,"Mexican, Bowls, Tacos, Burritos"
13151,"Mexican, Healthy"
13152,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13153,"Asian, Sushi, Hawaiian, Vegetarian, Vegan, Seafood, Japanese, Healthy"
13154,"Comfort Food, American, Wings, Family Friendly, Group Friendly, Alcohol"
13155,"American, Burgers, Group Friendly"
13156,"Everyday Essentials, Convenience, Pharmacy, Snacks"
13157,"American, Burgers, Sandwiches, Chicken, Desserts"
13158,"Comfort Food, Chicken, Sandwiches, Black-owned, Exclusive to Eats, Group Friendly"
13159,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
13160,"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks, Pizza, American"
13161,"Pizza, Italian"
13162,"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks, Pizza, American"
13163,"Breakfast and Brunch, Donuts"
13164,"Korean, Asian, BBQ"
13165,"American, burger, Fast Food, Family Meals"
13166,"American, Fast Food, Burgers"
13167,"Burritos, Fast Food, Mexican, Group Friendly"
13168,"American, Salads, Comfort Food, Healthy"
13169,"JuiceAndSmoothie, Healthy, Fast Food, Juice and Smoothies"
13170,"Italian, Pizza, Pasta, Sandwich"
13171,"Chinese, Asian, Asian Fusion, Family Friendly"
13172,"American, Fast Food, Burgers, Group Friendly"
13173,"Fast Food, pizza, wings"
13174,"Burritos, Fast Food, Mexican"
13175,"Healthy, Mexican"
13176,"Fast Food, Sandwich, American"
13177,"Healthy, Mexican"
13178,"American, Fast Food, Burgers"
13179,"Fast Food, Sandwich, American"
13180,"Sandwich, American"
13181,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13182,"American, Fast Food, Burgers"
13183,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13184,"Fast Food, Sandwich, American"
13185,"Breakfast &amp; Brunch, Donuts"
13186,"Breakfast and Brunch, Donuts"
13187,"Fast Food, Sandwich, American"
13188,"Pizza, Italian, Family Friendly"
13189,"Chinese, Asian, Asian Fusion"
13190,"Korean, Asian, BBQ"
13191,"Dinner, Healthy, Salads"
13192,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13193,"Healthy, Mexican"
13194,"American, Fast Food, Burgers"
13195,"Healthy, Mexican, Group Friendly"
13196,"American, burger, Fast Food, Family Meals"
13197,"American, Fast Food, Burgers"
13198,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13199,"Pizza, Italian"
13200,"Fast Food, Sandwich, American"
13201,"American, Burgers, Sandwiches, Convenience, Snacks, Everyday Essentials"
13202,"Fast Food, Sandwich, American"
13203,"Asian, Chinese, Family Meals"
13204,"Healthy, Mexican, Salads"
13205,"American, Burgers, Fast Food"
13206,"Everyday Essentials, Convenience, Pharmacy, Snacks"
13207,"American, Burgers, Fast Food"
13208,"American, burger, Fast Food, Family Meals"
13209,"Italian, Pizza, Salads"
13210,"Healthy, Mexican"
13211,"American, Burgers, Fast Food, Fast Food"
13212,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
13213,"American, Burgers, Pizza"
13214,"Seafood, American, Family Meals"
13215,"American, Chicken, Wings"
13216,"American, Fast Food, wings, Family Meals"
13217,"American, burger, Fast Food, Hot Dog, Sandwich"
13218,"American, Wings, Salads, Healthy, Family Meals"
13219,"Mexican, Latin American, New Mexican"
13220,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
13221,"American, Wings, Pasta"
13222,"Breakfast and Brunch, Sandwich, Diner, Family Meals"
13223,"American, Sandwich, Fast Food, Kids Friendly"
13224,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13225,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
13226,"Burritos, Fast Food, Mexican"
13227,"American, Fast Food, wings, Family Meals"
13228,"American, burger, Fast Food"
13229,"Breakfast, Brunch, Family Meals"
13230,"American, burger, Fast Food"
13231,"American, Fast Food, wings, Family Meals"
13232,"American, Sandwich, Fast Food, Kids Friendly"
13233,"Healthy, Mexican"
13234,"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich"
13235,"Breakfast and Brunch, Donuts"
13236,"Mexican, Salads, Comfort Food"
13237,"American, Burgers, Fast Food"
13238,"American, burger, Fast Food"
13239,"Burgers, American, Sandwiches, Wings, Salads"
13240,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
13241,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13242,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13243,"American, Sandwich, Fast Food, Kids Friendly"
13244,"Chinese, Asian, Seafood"
13245,"Asian, Japanese, Ramen"
13246,"Asian, Asian Fusion, Sushi"
13247,"American, Burgers, Fast Food"
13248,"American, Wings, Salads, Healthy, Family Meals"
13249,
13250,"American, Burgers, Sandwiches, Group Friendly"
13251,"American, Burgers, Pizza, Family Meals"
13252,"Burritos, Fast Food, Mexican"
13253,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13254,"Healthy, Mexican"
13255,"Everyday Essentials, Convenience, Pharmacy, Snacks"
13256,"Deli, Salads, Sandwich, Healthy"
13257,"American, Burgers, Fast Food, Group Friendly"
13258,"Fast Food, Sandwich, American"
13259,"American, Burgers, Fast Food"
13260,"American, Wings, Comfort Food"
13261,"Pharmacy, Convenience, Everyday Essentials, Baby"
13262,"American, Wings, Salads, Healthy, Family Meals"
13263,"Wings, American, Sandwich"
13264,"Sandwich, Salads, Healthy, Family Meals"
13265,"Mediterranean, Greek, Vegetarian, Healthy"
13266,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
13267,"Burritos, Fast Food, Mexican"
13268,"Chicken Strips, Fast Food, Fried Chicken, Family Meals"
13269,"American, Burgers, Fast Food"
13270,"American, Burgers, Fast Food"
13271,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13272,"Wings, American, Fast Food"
13273,"Ice Cream + Frozen Yogurt, Desserts, Cupcakes"
13274,"Ice Cream &amp; Frozen Yogurt, Desserts, Family Friendly, Kids Friendly"
13275,"Asian, Japanese, Chicken"
13276,"Desserts, PIzza, Wings, Sandwiches"
13277,"Mexican, Bowls, Tacos, Burritos"
13278,"Mediterranean, Greek"
13279,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13280,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13281,"Sandwiches, American, Healthy"
13282,"Healthy, Mexican"
13283,Sandwich
13284,"Pharmacy, Convenience, Everyday Essentials, Baby"
13285,"Pizza, Burgers, Desserts"
13286,"Chinese, Asian"
13287,"Chinese, Asian, Noodles"
13288,"Asian, Asian Fusion, Korean"
13289,"Asian, Chinese, Family Meals"
13290,"Breakfast and Brunch, Donuts"
13291,"Mexican, Latin American, Tacos"
13292,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
13293,"American, Wings, Burgers"
13294,"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy"
13295,"American, Fast Food, wings"
13296,"Burgers, American, Sandwiches"
13297,"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich"
13298,"American, Burgers, Fast Food"
13299,"Sandwich, American"
13300,"American, Burgers, Fast Food"
13301,"American, Sandwich, Fast Food, Kids Friendly"
13302,"American, Burgers, Comfort Food, Vegetarian Friendly, Fast Food"
13303,"wings, American, Sandwich, Family Friendly"
13304,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13305,"Juice and Smoothies, Healthy, Fast Food"
13306,"Breakfast and Brunch, Bakery, Desserts"
13307,"Vietnamese, Noodles, Healthy"
13308,"Italian, pizza, wings"
13309,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13310,"American, Burgers, Fast Food"
13311,"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American, Alcohol"
13312,"American, Burgers, Fast Food"
13313,"American, Burgers, Fast Food, Fast Food"
13314,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13315,"Sandwich, American"
13316,"JuiceAndSmoothie, Healthy, Fast Food, Juice and Smoothies"
13317,"American, Burgers, Fast Food"
13318,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food, Group Friendly"
13319,"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American, Alcohol"
13320,"American, Fast Food, Burgers"
13321,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13322,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals, Family Friendly"
13323,"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich"
13324,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13325,"American, Fried Chicken"
13326,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13327,"American, burger, Fast Food, Family Meals"
13328,"American, Burgers, Fast Food"
13329,"Fast Food, Sandwich, American"
13330,"Convenience, Everyday Essentials, Grocery, Snacks, Home &amp; Personal Care"
13331,"Dessert: Other, Coffee and Tea, Sandwich, Alcohol"
13332,"Thai, Asian, Seafood, Allergy Friendly"
13333,"Breakfast and Brunch, Donuts"
13334,"Italian, Pasta, Comfort Food"
13335,"American, Burgers, Fast Food"
13336,"Wings, American, Fast Food"
13337,Mexican
13338,"Thai, Asian, Noodles, Allergy Friendly"
13339,"Burgers, American, Sandwiches"
13340,"Healthy, Mexican"
13341,"American, Burgers"
13342,"Fast Food, Sandwich, American"
13343,"American, Burgers, Fast Food"
13344,"Fast Food, Sandwich, American"
13345,"Breakfast and Brunch, Donuts"
13346,"Fast Food, Sandwich, American"
13347,"Fast Food, Sandwich, American"
13348,"Bakery, Desserts, Comfort Food"
13349,"Indian, Desserts, Kids Friendly"
13350,"Thai, Asian Fusion"
13351,Pizza
13352,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13353,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
13354,"Pizza, American, Italian"
13355,"Chicken Strips, Fast Food, Fried Chicken, Family Meals"
13356,"Mexican, Latin American, New Mexican"
13357,"American, burger, Fast Food, Family Meals"
13358,"Seafood, American, Family Meals"
13359,"Burgers, American, Sandwiches"
13360,"American, Burgers, Chicken"
13361,"Convenience, Everyday Essentials, Grocery, Snacks, Home &amp; Personal Care"
13362,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American"
13363,"American, Fried Chicken, Group Friendly"
13364,"Seafood, American, Southern, Group Friendly"
13365,"Burritos, Fast Food, Mexican"
13366,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13367,"Alcohol, Everyday Essentials, Convenience, Grocery, Snacks"
13368,"Convenience, Everyday Essentials, Grocery, Snacks, Home &amp; Personal Care"
13369,Mediterranean
13370,"Mexican, Healthy"
13371,"Everyday Essentials, Convenience, Pharmacy, Snacks"
13372,"American, Burgers, Fast Food"
13373,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13374,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13375,"Bakery, American, Coffee and Tea"
13376,"Sushi, Korean, Rolls, Family Friendly"
13377,"Asian Fusion, Asian, Korean"
13378,"Chinese, Asian, Asian Fusion, Family Meals"
13379,"Sushi, Asian, Japanese"
13380,"Everyday Essentials, Convenience, Home &amp; Personal Care, Snacks, Pizza, American"
13381,"Healthy, Mexican"
13382,"Ice Cream + Frozen Yogurt, Desserts, Cupcakes"
13383,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
13384,"Healthy, Mexican"
13385,"Burritos, Fast Food, Mexican"
13386,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13387,"Chicken, Sandwich, Family Meals"
13388,"Breakfast and Brunch, Donuts"
13389,"Deli, Salads, Sandwich, Healthy"
13390,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13391,"Coffee and Tea, American, Breakfast and Brunch"
13392,"American, Burgers, Fast Food"
13393,"Convenience, Everyday Essentials, Snacks, Home &amp; Personal Care"
13394,"Fast Food, Sandwich, American"
13395,"Healthy, Mexican"
13396,"American, Burgers, Fast Food, Fast Food"
13397,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13398,"Desserts, Ice Cream + Frozen Yogurt, Comfort Food"
13399,"Fast Food, Sandwich, American"
13400,"Sandwich, Soup, Chicken"
13401,"Asian, Chinese, Family Meals"
13402,"American, Fast Food, wings, Family Meals"
13403,American
13404,"American, burger, Fast Food, Hot Dog, Sandwich"
13405,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals"
13406,"American, Burgers, Fast Food"
13407,"American, Burgers, Fast Food"
13408,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
13409,"Burritos, Fast Food, Mexican"
13410,"Fast Food, Italian, pizza, wings"
13411,"Fast Food, Sandwich, American"
13412,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food, Group Friendly"
13413,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13414,"American, Fast Food, Burgers"
13415,"Burritos, Fast Food, Mexican"
13416,"Fast Food, Sandwich, American"
13417,"American, Fast Food, Burgers"
13418,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
13419,"Desserts, PIzza, Wings, Sandwiches"
13420,"Fast Food, Sandwich, American"
13421,"Bakery, Desserts"
13422,"Everyday Essentials, Convenience, Pharmacy, Snacks"
13423,"American, Burgers, Fast Food"
13424,"Alcohol, Everyday Essentials, Convenience, Grocery, Snacks"
13425,"Asian, Asian Fusion, Korean"
13426,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Convenience, Snacks, Everyday Essentials"
13427,"Black-owned, Comfort Food, American, Wings"
13428,"American, Fast Food, wings"
13429,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy, Family Friendly"
13430,"American, Burgers, Fast Food"
13431,"Fast Food, Italian, pizza, wings"
13432,"Everyday Essentials, Grocery, Convenience, Snacks, Pizza, American, Alcohol, Gift Store, Baby, Retail"
13433,"Breakfast and Brunch, salad, Sandwich, Healthy, American, Chicken"
13434,"American, Fried Chicken, Southern, Sandwich, Fast Food"
13435,"Sandwich, American"
13436,"Breakfast &amp; Brunch, Donuts"
13437,"American, Fast Food, wings, Family Meals"
13438,"American, Burgers, Fast Food"
13439,"Fast Food, Italian, pizza, wings"
13440,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
13441,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13442,"Salads, Juice and Smoothies, Sandwich, Deli, Convenience, Everyday Essentials, Home &amp; Personal Care, Coffee and Tea, Grocery, Snacks"
13443,"Pharmacy, Convenience, Everyday Essentials"
13444,"Chinese, Asian Fusion, Seafood"
13445,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13446,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
13447,"Wings, Asian, Chicken, Family Friendly"
13448,"Fast Food, Sandwich, American"
13449,"Fast Food, Sandwich, American"
13450,"American, Burgers, Fast Food"
13451,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery"
13452,"Steak, American, Sandwich, Seafood"
13453,"Sandwiches, Cafe, Specialty Foods, Gift Store"
13454,"Middle Eastern, Halal, Afghan"
13455,"Sushi, Japanese, Family Friendly, Group Friendly"
13456,Mexican
13457,"wings, American, Burgers"
13458,"American, Burgers, Comfort Food, Family Meals, Family Friendly"
13459,"American, Wings, Southern, Soul Food"
13460,"Cajun / Creole, Seafood, Steak, Breakfast and Brunch"
13461,"Everyday Essentials, Convenience, Pharmacy, Snacks"
13462,"Italian, Wings, Salads"
13463,"Mexican, Latin American"
13464,"Pizza, Fried Foods, American"
13465,"Black-owned, Burgers, American, Sandwiches, Pizza, Alcohol"
13466,"American, Sandwiches, Family Meals"
13467,"Sandwich, Deli, Breakfast and Brunch, Grocery, Convenience, Everyday Essentials"
13468,"Middle Eastern, Coffee and Tea, Pastry, Wine, Cafe"
13469,"Tacos, Pizza, BBQ"
