,category
414,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
415,"Mexican, Burritos, Tacos, Allergy Friendly"
416,"American, Comfort Food, Deli, Desserts, Dinner, Fast Food, pizza, salad, Sandwich, Everyday Essentials, Convenience, Grocery, Snacks, Home &amp; Personal Care"
417,"Burritos, Fast Food, Mexican"
418,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
419,"Fast Food, Sandwich, American"
420,"Indian, Vegetarian, Asian"
421,"Asian Fusion, Asian, Salads, Noodles, Chinese, Japanese, Thai"
422,"Italian, Pasta, Pizza"
423,"Breakfast and Brunch, American, Sandwiches"
424,"Pharmacy, Convenience, Everyday Essentials, Baby"
425,"American, Breakfast and Brunch, Desserts"
426,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
427,"Burgers, American, Sandwiches, Family Meals"
428,"American, Burgers, Fast Food"
429,"American, Wings, Sandwich"
430,"American, burger, Fast Food, Family Meals"
431,"Sandwich, American, Deli"
432,"American, Burgers, Fast Food"
433,"Desserts, Ice Cream + Frozen Yogurt, Comfort Food"
434,"Burritos, Fast Food, Mexican"
435,"American, Comfort Food, Deli, Convenience, Snacks, Everyday Essentials"
436,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals"
437,"Burritos, Fast Food, Mexican"
438,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
439,"Sandwiches, American, Healthy"
440,"Burritos, Fast Food, Mexican"
441,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
442,"Mexican, New Mexican, Tex Mex"
443,"Asian, Chinese, Family Meals"
444,"American, Fried Chicken, Wings"
445,"Healthy, Mexican"
446,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
447,"American, Burgers, Fast Food, Fried Chicken, Family Meals, Sandwiches"
448,"Mexican, Latin American, New Mexican"
449,"Pizza, American, Keto, Plant Based"
450,"American, Breakfast and Brunch, Cafe, Omelette, Traditional American, Family Meals"
451,"American, Fast Food, wings, Family Meals"
452,"Breakfast and Brunch, salad, Sandwich, Healthy, American, Chicken"
453,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
454,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
455,"Burgers, American, Sandwiches, Family Meals"
456,"American, Burgers"
457,"American, burger, Fast Food"
458,"American, Chicken, Family Meals, Fried Chicken, Comfort Food"
459,"American, BBQ, burger, pasta, wings"
460,"Sandwich, American"
461,"Burritos, Fast Food, Mexican"
462,"Burritos, Fast Food, Mexican"
463,"Everyday Essentials, Grocery, Convenience, Home &amp; Personal Care, Snacks, Pizza, American"
464,"Breakfast &amp; Brunch, Donuts"
465,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food"
466,"American, Wings"
467,"Mexican, Bowls, Salads"
468,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken"
469,"BBQ, American, Chicken"
470,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings"
471,"Burgers, American, Sandwiches, Steak, Seafood, Salads, BBQ, Healthy"
472,"Burgers, American, Sandwiches, Family Meals"
473,"American, Breakfast and Brunch, burger, Comfort Food, Dinner, Omelette, salad, Traditional American, Family Meals"
474,"Burgers, American, Sandwiches, Family Meals"
475,"Wings, Drinks"
476,"Desserts, PIzza, Wings"
477,"Chinese, Noodles, Seafood"
478,"Soup, Salads"
479,"Breakfast &amp; Brunch, Donuts"
480,"Pizza, American, Italian"
481,"American, Burgers, Fast Food"
482,"American, burger, Fast Food"
483,"American, Burgers, Sandwiches, Wings, Salads"
484,"Pizza, American, Italian, Kids Friendly, Comfort Food, Salads, Keto, Plant Based"
485,"Burritos, Fast Food, Mexican"
486,"Burritos, Mexican, Tacos"
487,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
488,"Desserts, PIzza, Wings"
489,"American, Burgers, Fast Food"
490,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
491,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings"
492,"American, burger, Fast Food"
493,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea"
494,"American, burger, Fast Food, Family Meals"
495,"American, Fast Food, wings, Family Meals"
496,"American, Burgers, Chicken, Desserts"
497,"American, Burgers, Fast Food"
498,"Burritos, Fast Food, Mexican"
499,"American, Fried Chicken, Family Meals, Southern, Sandwich, Fast Food"
500,"Fast Food, Sandwich, American"
